name,phone_number,fax,address,public_transport,facilities,private_transport
Madrid,4149334053,4782663169,Madrid,Yes,Cep Sinema,Yok
Barcelona,4738937166,1517606085,Barcelona,Yes,Açık Spor Salonu,Servis
Sevilla,1993649352,1086348481,Sevilla,Yes,Yüzme Havuzu,Yok
Bilbao,1910107563,3786373237,Bilbao,Yes,Kapalı Spor Salonu,Yok
Valencia,9636624300,1991364905,Valencia,Yes,Cep Sinema,Yok
Zaragoza,7560551869,3328853410,Zaragoza,Yes,Açık Spor Salonu,Servis
Málaga,9476811626,7092666783,Málaga,No,Kapalı Spor Salonu,Servis
Murcia,9747124981,4337175034,Murcia,No,Açık Spor Salonu,Yok
Granada,3338330279,5635706739,Granada,No,Açık Spor Salonu,Servis
Vigo,1659815936,0201131365,Vigo,No,Açık Spor Salonu,Servis
